Date,Time,date_time,visibility,sea_level_pressure,relative_humidity,wind_speed,,air_temp,wind_direction
12/31/19,11:52PM,12/31/19-11:52PM,10,1015.2,25.84,0,1015.05,73.04,0
12/31/19,10:52PM,12/31/19-10:52PM,10,1014.8,23.88,0,1014.72,73.04,0
12/31/19,09:52PM,12/31/19-09:52PM,10,1015,23.88,0,1015.05,73.04,0
12/31/19,08:52PM,12/31/19-08:52PM,10,1015,27.63,0,1015.08,71.06,0
12/31/19,07:52PM,12/31/19-07:52PM,10,1015.5,24.77,3.44,1015.41,71.96,280
12/31/19,06:52PM,12/31/19-06:52PM,10,1016.5,26.49,0,1016.45,69.98,0
12/31/19,05:52PM,12/31/19-05:52PM,10,1016.8,30.35,0,1016.83,66.02,0
12/31/19,04:52PM,12/31/19-04:52PM,10,1016.2,47.41,0,1016.24,59,0
12/31/19,03:52PM,12/31/19-03:52PM,10,1015.3,58.63,0,1015.66,51.98,0
12/31/19,02:52PM,12/31/19-02:52PM,10,1014.8,63.08,0,1015,50,0
12/31/19,01:52PM,12/31/19-01:52PM,10,1014.5,63.08,0,1014.67,50,0
12/31/19,12:52PM,12/31/19-12:52PM,10,1014.3,63.23,3.44,1014.65,51.08,260
12/31/19,11:52AM,12/31/19-11:52AM,10,1014.2,65.81,0,1014.33,50,0
12/31/19,10:52AM,12/31/19-10:52AM,10,1014.7,65.81,0,1015,50,0
12/31/19,09:52AM,12/31/19-09:52AM,10,1014.5,58.63,0,1014.64,51.98,0
12/31/19,08:52AM,12/31/19-08:52AM,10,1014.4,58.78,0,1014.63,53.06,0
12/31/19,07:52AM,12/31/19-07:52AM,10,1014.9,56.88,0,1014.95,53.96,0
12/31/19,06:52AM,12/31/19-06:52AM,10,1015,48.97,0,1015.27,55.94,0
12/31/19,05:52AM,12/31/19-05:52AM,10,1014.8,48.79,0,1014.91,57.02,0
12/31/19,04:52AM,12/31/19-04:52AM,10,1014.6,48.97,0,1014.59,55.94,0
12/31/19,03:52AM,12/31/19-03:52AM,10,1014.1,48.97,0,1014.25,55.94,0
12/31/19,02:52AM,12/31/19-02:52AM,10,1014,43.69,0,1014.22,57.92,0
12/31/19,01:52AM,12/31/19-01:52AM,10,1014.2,40.45,0,1014.2,60.08,0
12/31/19,12:52AM,12/31/19-12:52AM,10,1014,33.77,3.44,1014.16,62.96,260
12/30/19,11:52PM,12/30/19-11:52PM,10,1013.8,31.51,0,1013.8,64.94,0
12/30/19,10:52PM,12/30/19-10:52PM,10,1013.5,30.39,3.44,1013.46,64.94,250
12/30/19,09:52PM,12/30/19-09:52PM,10,1013.7,32.51,0,1013.81,64.04,0
12/30/19,08:52PM,12/30/19-08:52PM,10,1013.9,36.39,3.44,1013.83,62.06,260
12/30/19,07:52PM,12/30/19-07:52PM,10,1014.7,36.39,0,1014.85,62.06,0
12/30/19,06:52PM,12/30/19-06:52PM,10,1015.8,36.21,4.61,1015.88,60.98,20
12/30/19,05:52PM,12/30/19-05:52PM,10,1016.5,37.38,3.44,1016.57,60.08,
12/30/19,04:52PM,12/30/19-04:52PM,10,1016.4,38.95,3.44,1016.6,57.92,
12/30/19,03:52PM,12/30/19-03:52PM,10,1016,41.71,3.44,1016.27,57.02,
12/30/19,02:52PM,12/30/19-02:52PM,10,1015.4,41.71,4.61,1015.59,57.02,
12/30/19,01:52PM,12/30/19-01:52PM,10,1015.3,40.05,4.61,1015.27,55.94,70
12/30/19,12:52PM,12/30/19-12:52PM,10,1015.4,43.36,5.75,1015.6,55.94,60
12/30/19,11:52AM,12/30/19-11:52AM,10,1015.6,46.92,5.75,1015.6,55.94,70
